mode,seed,seq,n_steps,avg_perf_proxy,mean_auc,mean_ft,forgetting_proxy,forgetting_normalised,tp,fp,fn,precision,recall,f1,mean_delay,max_delay,num_oracle,num_detected,posthoc_avg_perf
oracle,1,0,3500000,11.9438,0.7235,0.0000,9.4949,1.2598,6,0,0,1.000,1.000,1.000,1100.0,1200,6,6,
swoks,1,0,3500000,9.1738,0.5237,-0.8650,12.0148,2.1360,5,0,1,1.000,0.833,0.909,4983.0,5479,6,5,
implicit,1,0,3500000,5.0239,0.4536,-0.9971,15.2536,2.8143,4,56,2,0.067,0.667,0.121,20939.0,41879,6,60,
hybrid,1,0,3500000,5.5050,0.4430,-1.1476,17.8442,2.7873,4,26,2,0.133,0.667,0.222,13009.5,23319,6,30,
